(U+00B8)	c2b8	feff00b8	CEDILLA
(U+00B9)	c2b9	feff00b9	SUPERSCRIPT ONE
(U+00BA)	c2ba	feff00ba	MASCULINE ORDINAL INDICATOR
(U+00BB)	c2bb	feff00bb	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(U+00BC)	c2bc	feff00bc	VULGAR FRACTION ONE QUARTER
(U+00BD)	c2bd	feff00bd	VULGAR FRACTION ONE HALF
(U+00BE)	c2be	feff00be	VULGAR FRACTION THREE QUARTERS
(U+00BF)	c2bf	feff00bf	INVERTED QUESTION MARK
(U+00C0)	c380	feff00c0	LATIN CAPITAL LETTER A WITH GRAVE
(U+00C1)	c381	feff00c1	LATIN CAPITAL LETTER A WITH ACUTE
(U+00C2)	c382	feff00c2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
(U+00C3)	c383	feff00c3	LATIN CAPITAL LETTER A WITH TILDE
(U+00C4)	c384	feff00c4	LATIN CAPITAL LETTER A WITH DIAERESIS
(U+00C5)	c385	feff00c5	LATIN CAPITAL LETTER A WITH RING ABOVE
(U+00C6)	c386	feff00c6	LATIN CAPITAL LETTER AE
(U+00C7)	c387	feff00c7	LATIN CAPITAL LETTER C WITH CEDILLA
(U+00C8)	c388	feff00c8	LATIN CAPITAL LETTER E WITH GRAVE
(U+00C9)	c389	feff00c9	LATIN CAPITAL LETTER E WITH ACUTE
(U+00CA)	c38a	feff00ca	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
(U+00CB)	c38b	feff00cb	LATIN CAPITAL LETTER E WITH DIAERESIS
(U+00CC)	c38c	feff00cc	LATIN CAPITAL LETTER I WITH GRAVE
(U+00CD)	c38d	feff00cd	LATIN CAPITAL LETTER I WITH ACUTE
(U+00CE)	c38e	feff00ce	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
(U+00CF)	c38f	feff00cf	LATIN CAPITAL LETTER I WITH DIAERESIS
(U+00D0)	c390	feff00d0	LATIN CAPITAL LETTER ETH
(U+00D1)	c391	feff00d1	LATIN CAPITAL LETTER N WITH TILDE
(U+00D2)	c392	feff00d2	LATIN CAPITAL LETTER O WITH GRAVE
(U+00D3)	c393	feff00d3	LATIN CAPITAL LETTER O WITH ACUTE
(U+00D4)	c394	feff00d4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
(U+00D5)	c395	feff00d5	LATIN CAPITAL LETTER O WITH TILDE
(U+00D6)	c396	feff00d6	LATIN CAPITAL LETTER O WITH DIAERESIS
(U+00D7)	c397	feff00d7	MULTIPLICATION SIGN
(U+00D8)	c398	feff00d8	LATIN CAPITAL LETTER O WITH STROKE
(U+00D9)	c399	feff00d9	LATIN CAPITAL LETTER U WITH GRAVE
(U+00DA)	c39a	feff00da	LATIN CAPITAL LETTER U WITH ACUTE
(U+00DB)	c39b	feff00db	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
(U+00DC)	c39c	feff00dc	LATIN CAPITAL LETTER U WITH DIAERESIS
(U+00DD)	c39d	feff00dd	LATIN CAPITAL LETTER Y WITH ACUTE
(U+00DE)	c39e	feff00de	LATIN CAPITAL LETTER THORN
(U+00DF)	c39f	feff00df	LATIN SMALL LETTER SHARP S
(U+00E0)	c3a0	feff00e0	LATIN SMALL LETTER A WITH GRAVE
(U+00E1)	c3a1	feff00e1	LATIN SMALL LETTER A WITH ACUTE
(U+00E2)	c3a2	feff00e2	LATIN SMALL LETTER A WITH CIRCUMFLEX
(U+00E3)	c3a3	feff00e3	LATIN SMALL LETTER A WITH TILDE
(U+00E4)	c3a4	feff00e4	LATIN SMALL LETTER A WITH DIAERESIS
(U+00E5)	c3a5	feff00e5	LATIN SMALL LETTER A WITH RING ABOVE
(U+00E6)	c3a6	feff00e6	LATIN SMALL LETTER AE
(U+00E7)	c3a7	feff00e7	LATIN SMALL LETTER C WITH CEDILLA
(U+00E8)	c3a8	feff00e8	LATIN SMALL LETTER E WITH GRAVE
(U+00E9)	c3a9	feff00e9	LATIN SMALL LETTER E WITH ACUTE
(U+00EA)	c3aa	feff00ea	LATIN SMALL LETTER E WITH CIRCUMFLEX
(U+00EB)	c3ab	feff00eb	LATIN SMALL LETTER E WITH DIAERESIS
(U+00EC)	c3ac	feff00ec	LATIN SMALL LETTER I WITH GRAVE
(U+00ED)	c3ad	feff00ed	LATIN SMALL LETTER I WITH ACUTE
(U+00EE)	c3ae	feff00ee	LATIN SMALL LETTER I WITH CIRCUMFLEX
(U+00EF)	c3af	feff00ef	LATIN SMALL LETTER I WITH DIAERESIS
(U+00F0)	c3b0	feff00f0	LATIN SMALL LETTER ETH
(U+00F1)	c3b1	feff00f1	LATIN SMALL LETTER N WITH TILDE
(U+00F2)	c3b2	feff00f2	LATIN SMALL LETTER O WITH GRAVE
(U+00F3)	c3b3	feff00f3	LATIN SMALL LETTER O WITH ACUTE
(U+00F4)	c3b4	feff00f4	LATIN SMALL LETTER O WITH CIRCUMFLEX
(U+00F5)	c3b5	feff00f5	LATIN SMALL LETTER O WITH TILDE
(U+00F6)	c3b6	feff00f6	LATIN SMALL LETTER O WITH DIAERESIS
(U+00F7)	c3b7	feff00f7	DIVISION SIGN
(U+00F8)	c3b8	feff00f8	LATIN SMALL LETTER O WITH STROKE
(U+00F9)	c3b9	feff00f9	LATIN SMALL LETTER U WITH GRAVE
(U+00FA)	c3ba	feff00fa	LATIN SMALL LETTER U WITH ACUTE
(U+00FB)	c3bb	feff00fb	LATIN SMALL LETTER U WITH CIRCUMFLEX
(U+00FC)	c3bc	feff00fc	LATIN SMALL LETTER U WITH DIAERESIS
(U+00FD)	c3bd	feff00fd	LATIN SMALL LETTER Y WITH ACUTE
(U+00FE)	c3be	feff00fe	LATIN SMALL LETTER THORN
(U+00FF)	c3bf	feff00ff	LATIN SMALL LETTER Y WITH DIAERESIS
(U+0100)	c480	feff0100	LATIN CAPITAL LETTER A WITH MACRON
